,dataset_id,k,power,k_min,opt_loss
0,18840905,8,4.7919960315030545,1,0.40808252366505815
1,18870704,50,3.8916748930382323,5,0.46428975123646826
2,18931102,31,3.4117837123527015,18,0.48197364007585586
3,18960629,16,2.427621405327903,5,0.3242265432757587
4,18990407,37,3.1758066352995886,10,0.5835557213316451
5,19030303,27,2.1848321078128112,9,0.6976233783897707
6,19030524,3,2.6713313296523142,1,0.6876309623272987
7,19041114,50,1.879127720990434,1,1.1498917595196343
8,19080304,50,4.595601827543588,27,0.8615908064402312
9,19100728,50,3.8916748438692554,5,0.6071807788669267
10,19111201,16,2.192154861237565,5,1.029811970187059
11,19121101,18,5.0,2,1.0910313444837354
12,19141003,42,5.0,7,0.9679022310100096
13,19151205,16,2.4277384031242186,5,2.733126838687952
14,19180123,27,2.1848279246800506,9,1.19536862540184
15,19180528,27,2.184839876898881,9,0.6392441130015717
16,19210209,4,3.184743511297261,1,0.9883264432545745
17,19220612,50,1.8791274685817136,1,0.8660790506771826
18,19230301,50,1.8791272323736494,1,1.2292265388091157
19,19240731,16,2.1919653914227895,5,0.6840973204452756
20,19241012,36,3.4466987551202704,17,0.9520638971157711
21,19260826,35,5.0,19,0.7196432236672438
22,19270210,36,3.4467015328134525,17,1.1756893071781498
23,19270527,8,4.7919960315030545,1,0.7161319144329233
24,19271105,50,3.8916748133558468,5,1.32402102231566
25,19280804,36,3.446699348128793,17,1.2546576688093152
26,19300320,27,3.036100867439423,15,0.9236918761341437
27,19300829,14,5.0,1,0.7450591839046941
28,19310217,27,3.0364138227046134,15,1.3249818534236442
29,19310430,4,3.5046622017604485,1,0.7656142828121186
30,19321230,38,4.286241231200559,18,1.8052002649266503
31,19341031,27,2.1848399034790855,9,1.2617714672477753
32,19361118,29,3.7636481094801497,17,2.052295321909335
33,19370816,37,3.1758068619442996,10,1.1065869031170459
34,19420528,27,3.426097533461847,17,1.3132250966820913
35,19420708,29,3.7636247222074144,17,1.247252941914219
36,19420730,37,3.175806791518462,10,1.1606154834096012
37,19421130,50,3.8916747439353614,5,1.476743686822337
38,19430529,50,3.8916748013038407,5,1.3641090071068627
39,19440815,8,4.7919960315030545,1,1.3461167613939014
40,19460325,37,3.1758066572312047,10,1.9031468151146151
41,19490718,27,3.035432793607345,15,1.3206299698822965
42,19490928,27,3.426097533461847,17,1.200984489340265
43,19491109,27,3.426097533461847,17,2.1166301721400984
44,19500802,27,3.0355232239629597,15,1.078366536963122
45,19510412,27,2.1848484632347565,9,1.485559581521961
46,19530527,37,3.1758067597019926,10,1.541474634728844
47,19560321,37,3.1758068291746717,10,1.9417450828518237
48,19561216,50,3.8916747664050932,5,2.0215329786159395
49,19580911,43,3.3530452943601436,21,1.2699392623865944
50,19591125,37,3.17580699648611,10,2.4471948982528127
51,19600217,27,3.0572909901438923,15,2.4499901628372247
52,19611224,27,2.1848459862258567,9,2.7398133930845865
53,19620921,27,3.0355958491001296,15,1.327373910761824
54,19630714,27,2.184846616079928,9,1.3373284137665569
55,19640524,27,2.1848449526557956,9,1.3023522881650762
56,19641206,29,3.4119489924520163,16,2.3260273918604293
57,19650128,21,5.0,4,2.374256423551692
58,19650530,27,3.426097533461847,17,1.3078272291288722
59,19650928,27,2.1848454029761113,9,1.2737476244543144
60,19670602,37,3.1758066734347787,10,1.2375341361203294
61,19720210,43,3.353045493725879,21,2.2188428471934576
62,19721228,27,3.0358771874739165,15,2.2590199612138004
63,19760211,37,3.175807106259251,10,2.4371463722478697
64,19770423,27,3.037493220084104,15,1.7066361237111187
65,19770603,27,2.184846795165842,9,1.434401041347611
66,19781112,37,3.1758068557434616,10,2.0233554935844573
67,19811215,37,3.1758069900739057,10,2.889256524462055
68,19811225,27,3.426097533461847,17,2.807808814238777
69,19891212,50,3.891674723832887,5,2.3206643349797695
70,19900510,27,3.426097533461847,17,1.494080315338138
71,19910607,27,3.0569615341439937,15,1.3671127120767803
72,19930221,8,4.7919960315030545,1,2.2951854383799684
73,19930726,27,3.0372354698558905,15,1.2690670613703574
74,19970204,37,3.175806943489488,10,2.23333853444311
75,19990506,27,3.03559807945983,15,1.665390596301731
76,20000710,27,2.1848471926767052,9,1.4070580170895384
77,20010426,16,2.4273597219646286,5,1.518188023436072
78,20030201,27,2.1848402253546375,9,2.5383039561183924
79,20060217,27,3.0837379801289515,15,2.2300919166324666
80,20060313,27,3.0572903674234,15,2.0845653010590057
81,20060714,43,3.353045311303192,21,1.5515727138580546
82,20081204,29,3.753620937887242,17,1.8575789855767149
83,20090127,29,3.4119530473080295,16,2.2550045864561454
84,20090311,27,2.184850967154356,9,2.25204015876891
85,20100310,37,3.1758068797831807,10,1.9085692996866972
86,20100729,16,2.427331427308893,5,1.3484639662068034
87,20100826,50,3.891674876719242,5,1.8599472667936023
88,20100916,16,2.38893675066483,5,1.4318925828189077
89,20110701,27,2.1848476795214644,9,1.5506001736398736
90,20120104,37,3.175806786575664,10,2.1314212792604783
91,20151108,37,3.1758068444862384,10,1.9419771342082701
92,20151227,27,3.0359205856625495,15,2.882517053479344
93,20170425,37,3.1758067151140508,10,1.8513625501589557
94,20201106,27,2.184847233684686,9,1.3969988172637775
95,20210609,27,2.1848470996051303,9,0.9476964291133514
96,20220104,31,3.4117714573057696,18,1.7687887857445552
97,20230224,37,3.1758066536322014,10,1.601149362776647
98,20240105,50,3.891674685000947,5,2.7299801056852195
99,20250331,37,3.175806693864325,10,1.3713812577040074
