dataset_id,lr,weight_decay,batch_size,hidden_dim,latent_dim,n_layers,input_scale,alpha,opt_loss
18990407,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,0.8158704042434692
18870704,0.03816486593675298,0.0,1024,64,64,10,1024,100.0,0.577518105506897
19030303,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,0.9832099080085754
19041114,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.4399821758270264
18960629,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,0.6404716372489929
19111201,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.6289379596710205
18931102,0.08638583039434666,0.0,32,32,64,10,1024,0.0,0.5527654886245728
19030524,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,1.0582281351089478
19080304,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.3869718313217163
19100728,0.060108623439283804,0.0,32,128,32,10,1024,100.0,0.7547332644462585
19180528,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,0.7799716591835022
19121101,0.051422362602153035,0.018395344154722205,636,64,32,9,149,27.89908904569709,1.5109772682189941
19141003,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.2002167701721191
19180123,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,1.520874261856079
19241012,0.014687769417990144,0.08190891786335308,431,1024,64,3,928,80.31633421141696,1.2015713453292847
19230301,0.030261387783770872,0.0,32,64,256,10,1024,100.0,1.44943368434906
19240731,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,0.8992547392845154
19210209,0.04414646801682355,0.0,32,64,32,10,184,100.0,1.3977949619293213
19151205,0.006662982770597953,0.08047545637433455,226,256,512,3,73,74.3825854075093,3.205183744430542
19271105,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7582391500473022
19220612,0.060816252339093615,0.0,32,128,32,10,1024,100.0,0.95423823595047
19270527,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.1547629833221436
19270210,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7214699983596802
19310430,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.0203602313995361
19260826,0.056814365187375024,0.025232574457032343,567,128,128,3,240,86.0027948682888,1.0560075044631958
19300320,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.3758331537246704
19300829,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.1180784702301025
19310217,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,2.192850112915039
19280804,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,1.4229170083999634
19370816,0.0680088046693883,0.0,32,32,512,10,1024,0.0,1.4228312969207764
19341031,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7286159992218018
19321230,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,2.4367117881774902
19361118,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,2.4885666370391846
19440815,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.787758708000183
19420528,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6820955276489258
19420730,0.056814365187375024,0.025232574457032343,567,128,128,3,240,86.0027948682888,1.8278056383132935
19421130,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.0817387104034424
19420708,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.7941405773162842
19430529,0.024747129699872517,0.09318611166365406,1007,512,32,4,735,31.058725179421,1.9933106899261475
19460325,0.03668953319030815,0.0709121503867209,493,128,32,4,632,30.18117118626833,2.331167697906494
19491109,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.7400991916656494
19490718,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6657947301864624
19490928,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,1.5220584869384766
19500802,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.3968168497085571
19591125,0.1,0.0,32,128,1024,10,1024,30.24462588663926,2.64992094039917
19530527,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7690749168395996
19510412,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,1.7412728071212769
19560321,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,2.397838830947876
