dataset_id,nlags,anisotropy_scaling,coordinates_type,variogram_model,opt_loss
18840905,11,5.0,euclidean,linear,1.8144939214970115
18870704,15,2.894768912889889,geographic,power,3.390989543587211
18931102,14,2.4816592688443193,geographic,power,1.5632101321431398
18960629,9,1e-05,geographic,gaussian,2.3755055801408287
18990407,8,5.0,euclidean,exponential,1.5835967696101922
19030303,7,1.42330216124698,geographic,linear,1.9931686548797105
19030524,19,0.9557878596845731,euclidean,linear,2.2806416474228377
19041114,9,5.0,geographic,power,2.698294680181295
19080304,10,5.0,geographic,gaussian,2.816329299183309
19100728,9,5.0,euclidean,gaussian,2.311440292205581
19111201,11,0.046347796831633904,euclidean,linear,3.6612747569443997
19121101,6,5.0,euclidean,gaussian,3.0199957041856647
19141003,10,2.0592915052754077,geographic,linear,2.403546750282029
19151205,16,5.0,geographic,gaussian,4.307813979663596
19180123,8,4.9893092391623926,geographic,gaussian,4.005945671729309
19180528,7,2.5589343727267866,geographic,gaussian,2.550843438726763
19210209,20,0.18031640463733117,euclidean,exponential,3.100452781350768
19220612,11,1e-05,geographic,power,2.0691971176499666
19230301,18,2.985415341577841,euclidean,spherical,3.032584999540231
19240731,11,1e-05,euclidean,linear,2.1854873580008323
19241012,20,0.18031640463733117,euclidean,exponential,1.9358266084882407
19260826,18,2.9852261752113685,euclidean,spherical,1.6878188705375539
19270210,13,3.269603238128307,geographic,gaussian,4.699574085854809
19270527,15,5.0,euclidean,gaussian,3.4202162077194322
19271105,11,5.0,geographic,linear,5.483886791286845
19280804,13,5.0,euclidean,linear,3.2048811764179477
19300320,9,5.0,euclidean,linear,3.0763834643846883
19300829,11,1e-05,euclidean,linear,3.192418769798467
19310217,7,5.0,geographic,power,6.675442065129717
19310430,15,5.0,euclidean,power,3.0242259618627796
19321230,11,1e-05,euclidean,linear,5.145729374366928
19341031,19,1e-05,euclidean,gaussian,4.054239710485945
19361118,10,5.0,euclidean,linear,5.1059378684044825
19370816,17,5.0,euclidean,power,3.1548272315625834
19420528,9,5.0,euclidean,gaussian,3.28213091851092
19420708,19,2.2202462614672,euclidean,power,2.791386403205912
19420730,20,0.09274969181126916,euclidean,exponential,3.0295277341249496
19421130,19,2.2203295800581446,euclidean,power,4.022306326458967
19430529,19,2.220252214588171,euclidean,power,3.617970209710212
